pt,charge,rp,phi,eta,calo_energy,Particle_Type,pos,pos_1,dir_1,pos_2,dir_2,detid,front_1,front_2,front_3,front_4,back_1,back_2,back_3,back_4,Error,et,theta,px,py,pz,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision,energy,hadronicOverEm,hadronicDepth1OverEcal,hadronicDepth2OverEcal,e1x5,e2x5,e3x3,e5x5,maxEnergyXtal,sigmaEtaEta,sigmaIetaIeta,r1x5,r2x5,r9,ecalRecHitSumEtConeDR04,hcalTowerSumEtConeDR04,hcalDepth1TowerSumEtConeDR04,hcalDepth2TowerSumEtConeDR04,trkSumPtSolidConeConeDR04,trkSumPtHollowConeDR04,nTrkSolidConeDR04,nTrkHollowConeDR04,ecalRecHitSumEtDR03,hcalTowerSumEtDR03,hcalDepth1TowerSumEtDR03,hcalDepth2TowerSumEtDR03,trkSumPtSolidConeDR03,trkSumPtHollowConeDR03,nTrkSolidConeDR03,nTrkHollowConeDR03,dir,Name,Index,WasRun,Accept,Objects,path,slot,moduleLabel,moduleType,VID,KEY,id,mass
,,,,,,Extras,,"[0.000696638, 0.000647352, -0.0214671]","[1.23203, 1.23436, 4.84059]","[1.03035, 0.453902, 3.16813]","[1.66021, 0.0864739, 4.6234]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000686223, 0.000655161, -0.0343538]","[0.481129, 0.570807, 0.687329]","[1.04098, -0.736576, 1.7251]","[-0.376786, -0.594211, 0.654815]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000686945, 0.000658567, 0.0768106]","[0.635054, 0.780985, 2.16418]","[1.27127, 0.100283, 3.11276]","[0.673063, -0.60312, 1.94268]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.0006194, 0.000681285, -0.0543866]","[0.424198, 0.925142, 1.20305]","[1.20338, 0.421983, 1.63381]","[0.883096, -0.4472, 1.18025]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000809962, 0.000616206, 0.0767884]","[0.212751, 0.903952, 0.718383]","[-0.805473, 0.988638, 1.20928]","[-0.893244, -0.0345706, 0.69041]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000583471, 0.000652274, 0.0764101]","[0.100154, 1.00611, 2.21051]","[0.979556, 0.78176, 3.16813]","[0.878386, -0.109043, 1.99021]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.00112756, 0.000590377, -0.0350632]","[0.115563, 0.90131, 2.76241]","[-0.497965, 0.847639, 3.16813]","[-0.76825, 0.312064, 2.5312]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000748383, 0.000646132, 0.00164527]","[-0.221569, 3.87131, 1.83416]","[-0.311527, 1.23659, 0.608262]","[-1.62839, 3.48365, 1.81842]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000717468, 0.000648902, -0.0541886]","[-0.110609, 0.917053, -0.890719]","[0.915377, 0.887842, -1.48664]","[0.881005, -0.1401, -0.871462]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.00074653, 0.000662141, -0.031049]","[-0.471618, 1.33518, -2.60964]","[-0.981038, 0.814716, -2.49135]","[-1.35572, 0.209656, -2.52642]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000687094, 0.000638642, -0.0309576]","[-0.688592, 1.19379, -1.37299]","[0.0475181, 1.27434, -1.37087]","[0.753538, 1.10767, -1.34044]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000733887, 0.000666492, -0.0657407]","[-0.377525, 0.758118, 0.642544]","[-1.27434, 0.0472461, 1.12826]","[-0.39516, -0.699905, 0.616973]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000599601, 0.000576611, 0.0017782]","[-0.447955, 0.68542, -1.79936]","[0.510153, 1.10228, -3.16813]","[0.71056, 0.0966709, -1.60418]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
